country,country_code,dhs_phase,sex,year,n_sti_respondents,n_sought_treatment,pct_sought_treatment_unweighted,pct_sought_treatment_weighted
Ethiopia,ET,4,male,1992,47,24,51.1,50.5
Ethiopia,ET,5,female,1997,178,68,38.2,40
Ethiopia,ET,5,male,1997,57,31,54.4,51.8
Zimbabwe,ZW,4,female,1999,329,249,75.7,73.3
Zimbabwe,ZW,4,male,1999,125,115,92,88.4
Malawi,MW,4,female,2000,1257,813,64.7,63
Malawi,MW,4,male,2000,237,149,62.9,61.2
Namibia,NM,4,male,2000,53,47,88.7,90.2
Rwanda,RW,4,female,2000,226,117,51.8,48.8
Rwanda,RW,4,male,2000,44,28,63.6,60.9
Uganda,UG,4,female,2000,520,347,66.7,64.7
Uganda,UG,4,male,2000,43,34,79.1,77.4
Benin,BJ,4,female,2001,160,125,78.1,78.2
Benin,BJ,4,male,2001,96,75,78.1,77.9
Mali,ML,4,female,2001,2863,1480,51.7,53.3
Mali,ML,4,male,2001,180,117,65,64.1
Uganda,UG,4,female,2001,535,364,68,63.4
Uganda,UG,4,male,2001,48,34,70.8,69.7
Zambia,ZM,4,female,2001,94,57,60.6,59.8
Zambia,ZM,4,male,2001,37,27,73,71.5
Zambia,ZM,4,female,2002,267,193,72.3,72.5
Zambia,ZM,4,male,2002,101,71,70.3,71.3
Burkina Faso,BF,4,female,2003,487,338,69.4,68.6
Burkina Faso,BF,4,male,2003,70,40,57.1,46
Ethiopia,ET,6,female,2003,376,150,39.9,36.3
Ethiopia,ET,6,male,2003,225,108,48,43.1
Ghana,GH,4,female,2003,388,213,54.9,58.3
Ghana,GH,4,male,2003,157,108,68.8,69.3
Kenya,KE,4,female,2003,281,194,69,71.3
Kenya,KE,4,male,2003,85,79,92.9,90.8
Madagascar,MD,4,female,2003,94,80,85.1,79.1
Madagascar,MD,4,male,2003,43,40,93,90.7
Mozambique,MZ,4,female,2003,1013,759,74.9,73.7
Mozambique,MZ,4,male,2003,184,153,83.2,84
Nigeria,NG,4,female,2003,266,177,66.5,68.2
Nigeria,NG,4,male,2003,67,60,89.6,92.7
Tanzania,TZ,4,female,2003,178,137,77,78.1
Cameroon,CM,4,female,2004,1179,822,69.7,70.4
Cameroon,CM,4,male,2004,364,318,87.4,86.5
Chad,TD,4,female,2004,376,261,69.4,65
Chad,TD,4,male,2004,72,64,88.9,88.4
Lesotho,LS,4,female,2004,857,605,70.6,70.7
Lesotho,LS,4,male,2004,234,159,67.9,64.8
Madagascar,MD,4,female,2004,157,130,82.8,73.5
Madagascar,MD,4,male,2004,57,50,87.7,74.7
Malawi,MW,4,female,2004,649,382,58.9,59.8
Malawi,MW,4,male,2004,135,59,43.7,43.2
Mozambique,MZ,4,female,2004,7,7,100,100
Mozambique,MZ,4,male,2004,3,3,100,100
Tanzania,TZ,4,female,2004,707,547,77.4,76.1
Tanzania,TZ,4,male,2004,66,55,83.3,85.8
Congo,CG,5,female,2005,1270,900,70.9,69.1
Congo,CG,5,male,2005,255,204,80,81.9
Cote d'Ivoire,CI,5,female,2005,1243,690,55.5,55.9
Guinea,GN,5,female,2005,2117,1435,67.8,70.1
Guinea,GN,5,male,2005,215,175,81.4,81.5
Lesotho,LS,4,female,2005,67,41,61.2,56.6
Lesotho,LS,4,male,2005,28,19,67.9,73
Malawi,MW,4,female,2005,176,112,63.6,65.7
Malawi,MW,4,male,2005,15,6,40,22.5
Rwanda,RW,5,female,2005,391,202,51.7,51.2
Rwanda,RW,5,male,2005,89,48,53.9,54.8
Senegal,SN,4,female,2005,1230,779,63.3,67.2
Senegal,SN,4,male,2005,73,43,58.9,54.4
Tanzania,TZ,4,female,2005,122,89,73,71.2
Tanzania,TZ,4,male,2005,38,32,84.2,79.5
Zimbabwe,ZW,5,female,2005,512,332,64.8,67.1
Zimbabwe,ZW,5,male,2005,322,231,71.7,73
Benin,BJ,5,female,2006,863,524,60.7,60.6
Benin,BJ,5,male,2006,105,91,86.7,85.8
Eswatini,SZ,5,female,2006,377,288,76.4,77.1
Eswatini,SZ,5,male,2006,239,200,83.7,83.3
Liberia,LB,5,female,2006,156,115,73.7,76.6
Liberia,LB,5,male,2006,101,74,73.3,73.9
Mali,ML,5,female,2006,2329,1328,57,59.6
Mali,ML,5,male,2006,166,112,67.5,69.9
Namibia,NM,5,female,2006,155,100,64.5,66.1
Namibia,NM,5,male,2006,38,25,65.8,72.8
Niger,NI,5,female,2006,226,100,44.2,38.2
Niger,NI,5,male,2006,74,37,50,46.3
Uganda,UG,5,female,2006,1520,1012,66.6,67.8
Uganda,UG,5,male,2006,232,186,80.2,82.8
Zimbabwe,ZW,5,female,2006,151,94,62.3,64.7
Zimbabwe,ZW,5,male,2006,63,51,81,81.6
DRC,CD,5,female,2007,642,433,67.4,58
DRC,CD,5,male,2007,320,222,69.4,67.4
Eswatini,SZ,5,female,2007,114,98,86,89.3
Eswatini,SZ,5,male,2007,67,58,86.6,86.6
Liberia,LB,5,female,2007,2009,1624,80.8,81.2
Liberia,LB,5,male,2007,837,641,76.6,77.6
Namibia,NM,5,female,2007,371,288,77.6,75.4
Namibia,NM,5,male,2007,71,53,74.6,71.2
Tanzania,TZ,5,female,2007,468,332,70.9,73
Zambia,ZM,5,female,2007,287,211,73.5,74.1
Zambia,ZM,5,male,2007,299,247,82.6,82.2
Ethiopia,ET,7,female,2008,443,160,36.1,33.3
Ethiopia,ET,7,male,2008,229,102,44.5,35.5
Ghana,GH,5,female,2008,729,406,55.7,59.2
Ghana,GH,5,male,2008,209,140,67,69.9
Kenya,KE,5,female,2008,225,152,67.6,70.9
Kenya,KE,5,male,2008,29,27,93.1,89.3
Madagascar,MD,5,female,2008,58,39,67.2,66.1
Madagascar,MD,5,male,2008,58,44,75.9,82.6
Nigeria,NG,5,female,2008,1389,773,55.7,58.9
Nigeria,NG,5,male,2008,334,245,73.4,75.3
Sao Tome,ST,5,female,2008,255,227,89,87
